id,taxid,superkingdom,organism,title,valid
KP027204,1567478,Viruses,Mycobacterium phage Thor,"Mycobacterium phage Thor, complete genome",True
MK359314,2502432,Viruses,Mycobacterium phage Ewok,"Mycobacterium phage Ewok, complete genome",True
MG944218,2099444,Viruses,Microbacterium phage Pikmin,"Microbacterium phage Pikmin, complete genome",True
NC_028908,1664247,Viruses,Achromobacter phage phiAxp-3,"Achromobacter phage phiAxp-3, complete genome",True
NC_022753,1354510,Viruses,Mycobacterium phage Fredward,"Mycobacterium phage Fredward, complete genome",True
NC_031039,1815509,Viruses,Bacillus phage AR9,"Bacillus phage AR9, complete genome",True
KU963258,1821555,Viruses,Gordonia phage Katyusha,"Gordonia phage Katyusha, complete genome",True
NC_023690,2923000,Viruses,Mycobacterium phage Courthouse,"Mycobacterium phage Courthouse, complete genome",True
KT184694,1673873,Viruses,Mycobacterium phage Smeadley,"Mycobacterium phage Smeadley, complete genome",True
MK112553,2488960,Viruses,Mycobacterium Phage Squiggle,"Mycobacterium Phage Squiggle, complete genome",True
MH697591,2301544,Viruses,Mycobacterium phage QueenBeesly,"Mycobacterium phage QueenBeesly, complete genome",True
NC_011269,546807,Viruses,Mycobacterium phage ScottMcG,"Mycobacterium phage ScottMcG, complete genome",True
MF919496,2041522,Viruses,Mycobacterium phage Cerulean,"Mycobacterium phage Cerulean, complete genome",True
NC_025443,1113547,Viruses,Salmonella phage 9NA,"Salmonella phage 9NA, complete genome",True
MH479914,2250402,Viruses,Mycobacterium phage FugateOSU,"Mycobacterium phage FugateOSU, complete genome",True
NC_028815,1675553,Viruses,Mycobacterium phage Nhonho,"Mycobacterium phage Nhonho, complete genome",True
MK359356,2502452,Viruses,Mycobacterium phage Nebs,"Mycobacterium phage Nebs, complete genome",True
MK279880,2499018,Viruses,Arthrobacter phage Savage2526,"Arthrobacter phage Savage2526, complete genome",True
NC_031094,1814958,Viruses,Streptococcus phage 9872,"Streptococcus virus 9872, complete genome",True
JX411620,2927992,Viruses,Mycobacterium phage Dorothy,"Mycobacterium phage Dorothy, complete genome",True
KU998255,1838072,Viruses,Gordonia phage McGonagall,"Gordonia phage McGonagall, complete genome",True
NC_023577,1445715,Viruses,Mycobacterium phage Obama12,"Mycobacterium phage Obama12, complete genome",True
KU963261,1821551,Viruses,Gordonia phage BetterKatz,"Gordonia phage BetterKatz, complete genome",True
MK279887,2499064,Viruses,Mycobacterium phage Timmi,"Mycobacterium phage Timmi, complete genome",True
KR347355,1654782,Viruses,Propionibacterium phage QueenBey,"Propionibacterium phage QueenBey, complete genome",True
NC_011022,540064,Viruses,Mycobacterium phage DD5,"Mycobacterium phage DD5, complete genome",True
MH669013,2301559,Viruses,Gordonia phage Skysand,"Gordonia phage Skysand, complete genome",True
MG962363,2094129,Viruses,Mycobacterium phage BatteryCK,"Mycobacterium phage BatteryCK, complete genome",True
MK279898,2499034,Viruses,Mycobacterium phage Cici,"Mycobacterium phage Cici, complete genome",True
MH271292,2201432,Viruses,Microbacterium phage AnnaSerena,"Microbacterium phage AnnaSerena, complete genome",True
MK112544,2488971,Viruses,Mycobacterium phage Keitherie,"Mycobacterium phage Keitherie, complete genome",True
NC_023710,1071506,Viruses,Mycobacterium phage RidgeCB,"Mycobacterium phage RidgeCB, complete genome",True
NC_016564,994601,Viruses,Planktothrix phage PaV-LD,"Planktothrix phage PaV-LD, complete genome",True
