DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,0.9165536792801676,.9165
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,0.916493458858051,.9164
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.9061972510248372,.9061
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,0.8890579434512489,.8890
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TKPertStrategy,0.899557956777996,.8995
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.8988117573483427,.8988
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,MaxStrategy,TKPertStrategy,0.9013409961685824,.9013
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,0.8955665024630542,.8955
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TKPertStrategy,0.8989129076596275,.8989
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TKPertStrategy,0.906740093379624,.9067
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,TKPertStrategy,0.9004807692307693,.9004
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,MaxStrategy,0.9141457440293937,.9141
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,BottomTruncateStrategy,0.9146808247931844,.9146
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,0.9192317163260281,.9192
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,0.9219980314960629,.9219
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,MaxStrategy,0.9164146606991653,.9164
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,BottomTruncateStrategy,0.9186060532979621,.9186
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,MaxStrategy,0.9196850393700788,.9196
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,0.9193957703927492,.9193
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,MaxStrategy,BottomTruncateStrategy,0.9180879173672831,.9180
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,MaxStrategy,MaxStrategy,0.9152583293095123,.9152
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,MaxStrategy,0.9193625118934349,.9193
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,0.9164307692307693,.9164
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,0.9200440798334761,.9200
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,TopBottomTruncateStrategy,0.9175574394888807,.9175
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,TopBottomTruncateStrategy,0.9213889558717145,.9213
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,BottomTruncateStrategy,0.9250120948234156,.9250
BottomTruncateStrategy,BottomTruncateStrategy,BottomTruncateStrategy,TKPertStrategy,MaxStrategy,TopBottomTruncateStrategy,0.9190243902439025,.9190
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,MaxStrategy,BottomTruncateStrategy,0.9223489444309634,.9223
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,0.9180249851279001,.9180
BottomTruncateStrategy,BottomTruncateStrategy,TopBottomTruncateStrategy,MaxStrategy,TopBottomTruncateStrategy,MaxStrategy,0.9185823754789272,.9185
