DNABERTBACTSTRAT,NT2PHAGESTRAT,NT2BACTSTRAT,MEGADNAPHAGESTRAT,DNABERTPHAGESTRAT,MEGADNABACTSTRAT,F1Score1,Average
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,0.9449106165632981,.9449
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,Tf4idfStrategy,0.9366726296958855,.9366
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,0.9373890401230914,.9373
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TfidfStrategy,0.9400910615863886,.9400
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TfidfStrategy,Tf4idfStrategy,0.9075483468496569,.9075
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,0.9243156199677938,.9243
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TfidfStrategy,TruncateStrategy,0.9307701379879704,.9307
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TfidfStrategy,TfidfStrategy,0.8940183668404069,.8940
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TfidfStrategy,0.934722721283986,.9347
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,TruncateStrategy,0.928694793979768,.9286
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,0.9427649659457522,.9427
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,Tf4idfStrategy,0.9171974522292994,.9171
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,Tf4idfStrategy,0.8762629576171106,.8762
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,0.8342260310658811,.8342
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,0.9245514868518064,.9245
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TKPertStrategy,MaxStrategy,0.9303864791395816,.9303
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,TfidfStrategy,0.9429877315371662,.9429
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TfidfStrategy,TfidfStrategy,0.9216589861751152,.9216
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,0.9426797229519943,.9426
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TfidfStrategy,Tf4idfStrategy,0.8894188527676666,.8894
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,MaxStrategy,0.9428776290630975,.9428
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,TruncateStrategy,0.9399759903961585,.9399
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,TfidfStrategy,0.9467881112176414,.9467
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TfidfStrategy,TruncateStrategy,0.9400577756379394,.9400
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TfidfStrategy,MaxStrategy,0.9451182899003242,.9451
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,TruncateStrategy,0.9433232628398791,.9433
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,0.9214463840399002,.9214
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,MaxStrategy,0.9370819915779043,.9370
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,MaxStrategy,0.943519188993483,.9435
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TKPertStrategy,TfidfStrategy,0.9403398818850187,.9403
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,0.9383578136287022,.9383
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,TfidfStrategy,0.9385300132322869,.9385
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TfidfStrategy,TKPertStrategy,0.911468330134357,.9114
TruncateStrategy,TruncateStrategy,MaxStrategy,TruncateStrategy,TfidfStrategy,MaxStrategy,0.9418142392482833,.9418
TruncateStrategy,TruncateStrategy,TruncateStrategy,Tf4idfStrategy,TKPertStrategy,Tf4idfStrategy,0.9188251332259263,.9188
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,TruncateStrategy,Tf4idfStrategy,0.945702984537936,.9457
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,MaxStrategy,0.9462521089419136,.9462
TruncateStrategy,TruncateStrategy,TruncateStrategy,TruncateStrategy,TKPertStrategy,MaxStrategy,0.9437094058215059,.9437
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,MaxStrategy,0.9274746042995511,.9274
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,TruncateStrategy,0.9444645223467051,.9444
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TKPertStrategy,Tf4idfStrategy,0.9393430831934788,.9393
TruncateStrategy,TruncateStrategy,TruncateStrategy,MaxStrategy,TfidfStrategy,TKPertStrategy,0.9347906177084613,.9347
TruncateStrategy,TruncateStrategy,MaxStrategy,MaxStrategy,Tf4idfStrategy,TruncateStrategy,0.9442709584434302,.9442
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TKPertStrategy,Tf4idfStrategy,0.9112632233976354,.9112
TruncateStrategy,TruncateStrategy,TruncateStrategy,TfidfStrategy,TfidfStrategy,TKPertStrategy,0.9319396602921962,.9319
